ID,Name,Subtitle,URL,GenreID,DeveloperID,Age Rating,Average User Rating,Purchases?,User Rating Count,Price
45,Cats & Cosplay: Tower Defense,Battle & Defend a Kingdom Rush,https://apps.apple.com/us/app/cats-cosplay-tower-defense/id1404755052,7,54,9,5,1,10958,0
46,Chaos Battle League,Battle Royale PvP Game!,https://apps.apple.com/us/app/chaos-battle-league/id1229936971,1,55,12,4.5,1,1356,0
47,Checkers,Checkers (Draughts) & puzzles.,https://apps.apple.com/us/app/checkers/id321026028,3,56,4,4.5,0,36581,0
48,Chess,Play Chess and Solve Puzzles,https://apps.apple.com/us/app/chess/id319305999,3,57,4,4.5,1,14864,0
49,Chess for Kids - Play & Learn,,https://apps.apple.com/us/app/chess-for-kids-play-learn/id629375826,7,26,4,4,0,1316,0
50,Chess Time - Multiplayer Chess,Chess Friends Online,https://apps.apple.com/us/app/chess-time-multiplayer-chess/id455602152,3,59,4,4.5,1,2538,0
51,Churchill Solitaire,World War Card Game,https://apps.apple.com/us/app/churchill-solitaire/id1030804846,4,60,12,4.5,1,15726,0
52,City Island 3: Building Sim,Build your own city metropolis,https://apps.apple.com/us/app/city-island-3-building-sim/id952174948,7,61,4,4.5,1,2960,0
53,City Island 4 Simulation Town,The best city building game!,https://apps.apple.com/us/app/city-island-4-simulation-town/id1042336481,14,62,4,4.5,1,2752,0
54,Civil War: 1863,,https://apps.apple.com/us/app/civil-war-1863/id514588332,14,63,12,4,1,894,2.99
55,Clash of Lords 2: Guild Castle,,https://apps.apple.com/us/app/clash-of-lords-2-guild-castle/id867427452,1,64,9,4,1,9082,0
56,Clone Evolution: Cyber War,Travel to the cyberpunk world,https://apps.apple.com/us/app/clone-evolution-cyber-war/id1185779587,13,49,12,4.5,1,1138,0
57,Cook It! - Chef Cooking Games,Top Restaurant Fever Food Game,https://apps.apple.com/us/app/cook-it-chef-cooking-games/id1399688008,5,53,4,4.5,1,7094,0
58,Cooking Fest : Cooking Games,Time Management Game,https://apps.apple.com/us/app/cooking-fest-cooking-games/id1129660274,5,67,4,4.5,1,2215,0
59,Cosmic Showdown,Intense Multi-player Action,https://apps.apple.com/us/app/cosmic-showdown/id1214555652,5,44,9,4.5,1,5669,0
60,Craft Warriors,A New Generation RTS,https://apps.apple.com/us/app/craft-warriors/id1101088321,14,69,9,4.5,1,14689,0
61,Crazy Rolling Hero,Fun rotate ball brain games,https://apps.apple.com/us/app/crazy-rolling-hero/id1142106736,11,70,4,5,0,10776,0
62,Crazy Taxi Idle Tycoon,Ultimate Empire Clicker,https://apps.apple.com/us/app/crazy-taxi-idle-tycoon/id1149469055,13,71,12,4.5,1,2181,0
64,Crusaders of Light,,https://apps.apple.com/us/app/crusaders-of-light/id1206328878,13,72,12,4.5,1,3576,0
65,Crypto Trillionaire,The Crypto Empire Idle Sim,https://apps.apple.com/us/app/crypto-trillionaire/id1380794337,14,73,12,5,1,5604,0
66,CUBE SNAP,,https://apps.apple.com/us/app/cube-snap/id558202790,11,37,4,4.5,0,2942,0.99
67,Dead Spreading:Idle Game,Build and merge with strategy!,https://apps.apple.com/us/app/dead-spreading-idle-game/id1461453188,14,74,12,5,1,3253,0
68,Decipher: The Brain Game,Solve 250 levels to win!,https://apps.apple.com/us/app/decipher-the-brain-game/id1434230685,11,76,4,4.5,1,3120,0
69,Decisive Battle Pacific,,https://apps.apple.com/us/app/decisive-battle-pacific/id1124271995,2,77,12,2.5,1,1016,0
70,Deep Town: Idle Miner Factory,"Mine, Craft and Automate",https://apps.apple.com/us/app/deep-town-idle-miner-factory/id1202240058,14,78,9,4.5,1,4800,0
71,Dice Hunter: Dicemancer Quest,A tactical turn-based RPG,https://apps.apple.com/us/app/dice-hunter-dicemancer-quest/id1059336403,13,68,9,4.5,1,509,0
72,Dig Dog!,Find the bone!,https://apps.apple.com/us/app/dig-dog/id1453708285,5,73,4,5,1,6851,0
73,Dig it - idle mining tycoon,Miner business simulator game,https://apps.apple.com/us/app/dig-it-idle-mining-tycoon/id927404572,14,81,4,4.5,1,1675,0
74,Dino War: Rise of Beasts,Next Gen MMO Strategy,https://apps.apple.com/us/app/dino-war-rise-of-beasts/id1343106323,13,82,12,4,1,532,0
75,DomiNations,Empire builder & battle game,https://apps.apple.com/us/app/dominations/id922558758,1,83,12,4.5,1,49997,0
76,Domino!,,https://apps.apple.com/us/app/domino/id523003209,3,54,4,4.5,0,3593,4.99
77,Domino! - Multiplayer Dominoes,The Largest Dominoes Community,https://apps.apple.com/us/app/domino-multiplayer-dominoes/id523001403,3,54,4,4.5,1,17031,0
78,Dungeon Maker : Dark Lord,,https://apps.apple.com/us/app/dungeon-maker-dark-lord/id1359652100,4,62,9,4.5,1,763,2.99
79,Egg Factory - Idle Tycoon,Build your egg empire now!,https://apps.apple.com/us/app/egg-factory-idle-tycoon/id1437101900,14,87,4,5,0,3238,0
80,"Egg, Inc.",Egg Farming Idle Game,https://apps.apple.com/us/app/egg-inc/id993492744,14,11,4,5,1,174591,0
81,Elvenar - Fantasy Kingdom,Play a Strategy Castle Sim,https://apps.apple.com/us/app/elvenar-fantasy-kingdom/id1163240549,14,79,4,4.5,1,12346,0
82,EMERGENCY HQ,"Save lives, be a hero!",https://apps.apple.com/us/app/emergency-hq/id859148736,14,90,12,4.5,1,3528,0
83,Emoji Craft !,Get rich with the idle factory,https://apps.apple.com/us/app/emoji-craft/id1388460160,14,67,12,5,1,17996,0
84,Epic Battle Simulator,The most Epic Battle Simulator,https://apps.apple.com/us/app/epic-battle-simulator/id1164046790,14,92,9,4.5,1,4182,0
85,Epic Battle Simulator 2,The most Epic Battle Simulator,https://apps.apple.com/us/app/epic-battle-simulator-2/id1220503572,14,93,9,4.5,1,15015,0
86,Epic Party Clicker,Beat Drop & Tap to the Rhythm,https://apps.apple.com/us/app/epic-party-clicker/id998665159,10,94,9,5,1,3340,0
87,Epic Summoners: Monsters War,Idle RPG: Battle & Clash Game,https://apps.apple.com/us/app/epic-summoners-monsters-war/id1221242087,13,49,12,4.5,1,2256,0
88,Evolution Board Game,Duel Card Strategy Simulator,https://apps.apple.com/us/app/evolution-board-game/id1112610493,3,96,9,4.5,1,1475,0
89,Evolution Galaxy,Mutant Animals Game Collection,https://apps.apple.com/us/app/evolution-galaxy/id1327122657,7,97,4,4.5,1,5446,0
90,Farm Factory!,Farm tycoon idle game!,https://apps.apple.com/us/app/farm-factory/id1436060599,14,98,4,5,0,1078,0
91,Fish Farm 3 - Aquarium,Aquarium Simulator,https://apps.apple.com/us/app/fish-farm-3-aquarium/id1196055246,6,16,4,4.5,1,2214,0
92,Five Nights at Freddy's,,https://apps.apple.com/us/app/five-nights-at-freddys/id912536422,1,28,12,4.5,1,32314,2.99
93,Formula Clicker Idle Tycoon,Idle Car Racing Manager,https://apps.apple.com/us/app/formula-clicker-idle-tycoon/id1153965204,12,101,4,4.5,1,939,0
94,Frozen Frenzy Mania,Challenging Match 3 Games,https://apps.apple.com/us/app/frozen-frenzy-mania/id1005783927,11,102,4,4.5,1,5402,0
95,Full Deck Solitaire,,https://apps.apple.com/us/app/full-deck-solitaire/id413443169,4,69,4,4.5,1,14777,0
96,FULL METAL MONSTERS,Dino 5x5 PvP Shooter,https://apps.apple.com/us/app/full-metal-monsters/id1417141579,1,12,9,4.5,1,4772,0
97,Gem Blast Match-3 Puzzle Crush,New Match 3 Games with Bonuses,https://apps.apple.com/us/app/gem-blast-match-3-puzzle-crush/id513603251,3,105,4,4.5,1,749,0
98,Girls' Frontline,,https://apps.apple.com/us/app/girls-frontline/id1313126006,13,106,12,4.5,1,1071,0
99,Girls X Battle:GXB_Global,,https://apps.apple.com/us/app/girls-x-battle-gxb-global/id1091131962,13,107,9,5,1,15747,0
100,God Kings,Epic PVP MMO War Strategy Game,https://apps.apple.com/us/app/god-kings/id1095357532,13,79,9,4.5,1,531,0
101,Grow Castle!,,https://apps.apple.com/us/app/grow-castle/id1133478462,14,109,12,4.5,1,763,0
102,Gunship Battle Total Warfare,Art of Military Strategy,https://apps.apple.com/us/app/gunship-battle-total-warfare/id1397714781,14,82,12,4,1,1194,0
103,HD Poker: Texas Holdem,New High Def Poker Experience,https://apps.apple.com/us/app/hd-poker-texas-holdem/id875589196,4,111,12,4.5,1,1242,0
104,Idle Ball Race,Pick your marble and race!,https://apps.apple.com/us/app/idle-ball-race/id1447605328,12,103,12,4.5,1,12395,0
105,Idle Battle Star: Galaxy Hero,Space planet clicker shooter,https://apps.apple.com/us/app/idle-battle-star-galaxy-hero/id1457156068,14,113,4,4.5,1,935,0
106,Idle Cafe Tycoon - Tap Story,My Own Clicker Coffee Shop Sim,https://apps.apple.com/us/app/idle-cafe-tycoon-tap-story/id1294573637,13,114,4,4.5,1,2740,0
107,Idle Cook: CookingGames Tycoon,Cooking with cooking fever,https://apps.apple.com/us/app/idle-cook-cookinggames-tycoon/id1440734832,14,115,4,4.5,1,1145,0
108,Idle Factory Tycoon,Manage production & get rich!,https://apps.apple.com/us/app/idle-factory-tycoon/id1303389751,14,91,4,4.5,1,12672,0
109,Idle Frontier: Tap Tap Town,Build & Explore the Wild West!,https://apps.apple.com/us/app/idle-frontier-tap-tap-town/id1457620851,14,92,12,4.5,1,1761,0
110,Idle Painter,The only one drawing simulator,https://apps.apple.com/us/app/idle-painter/id1377332371,14,118,4,4.5,1,25974,0
111,Idle Prison Tycoon Simulator,Become a gold mine tycoon,https://apps.apple.com/us/app/idle-prison-tycoon-simulator/id1444175765,14,101,9,5,1,1476,0
112,Idle Roller Coaster,Become a Theme Park Tycoon,https://apps.apple.com/us/app/idle-roller-coaster/id1459059300,14,67,4,5,1,88855,0
113,Idle Smartphone Tycoon Mobile,Phone Clicker Sim & Tap Games,https://apps.apple.com/us/app/idle-smartphone-tycoon-mobile/id1429667316,13,119,4,4.5,1,3024,0
114,Idle Space: Tycoon,Incremental Zen Game,https://apps.apple.com/us/app/idle-space-tycoon/id1436501824,14,32,4,4.5,1,668,0
115,Idle Theme Park - Tycoon Game,Create your own Roller Coaster,https://apps.apple.com/us/app/idle-theme-park-tycoon-game/id1460772578,14,42,9,4.5,1,45369,0
116,Idle Zen,Incremental Gravity Game,https://apps.apple.com/us/app/idle-zen/id1412489040,14,1,9,4.5,0,3762,0
117,Idle Zoo Tycoon 3D,Build the zoo of your dreams!,https://apps.apple.com/us/app/idle-zoo-tycoon-3d/id1466987107,1,105,12,4.5,0,1197,0
118,Infinite Warfare Tower Defense,EPIC TD BATTLES!,https://apps.apple.com/us/app/infinite-warfare-tower-defense/id1135188984,1,97,9,4.5,1,2177,0
119,Jelly Jam Blast - Match 3 Game,"Match, Smash & Crush Fruits",https://apps.apple.com/us/app/jelly-jam-blast-match-3-game/id1397703863,11,81,4,4.5,1,7536,0
120,Jewel World Skull Edition,Amazing match 3 game !,https://apps.apple.com/us/app/jewel-world-skull-edition/id522551995,11,40,4,4.5,1,18211,0
121,Jewel World T4C Edition,Amazing Match 3 Games...,https://apps.apple.com/us/app/jewel-world-t4c-edition/id540803768,11,40,4,4.5,1,852,0.99
122,JewelKing - Puzzle Legend,Amazing match-3 game,https://apps.apple.com/us/app/jewelking-puzzle-legend/id1438938136,11,20,4,4.5,0,2182,0
123,Juice Boss,Blend & Mix Everything!,https://apps.apple.com/us/app/juice-boss/id1440471310,14,131,4,5,0,1485,0
124,Kingdom: New Lands,Defend from Hearts of Greed,https://apps.apple.com/us/app/kingdom-new-lands/id1118513354,5,132,9,4.5,0,1144,9.99
125,Kingdoms at War: Hardcore RTS,,https://apps.apple.com/us/app/kingdoms-at-war-hardcore-rts/id1165098158,13,2,9,3.5,1,578,0
126,Langrisser,Legendary Strategic JRPG,https://apps.apple.com/us/app/langrisser/id1435314243,13,134,12,5,1,19807,0
127,Le Havre (The Harbor),Designed by Uwe Rosenberg,https://apps.apple.com/us/app/le-havre-the-harbor/id517685886,3,31,4,4.5,1,2321,4.99
128,League of War: Mercenaries,,https://apps.apple.com/us/app/league-of-war-mercenaries/id993290127,1,111,12,4.5,1,3637,0
129,Legendary Heroes offline MOBA,"Strategy RPG, offline MOBA",https://apps.apple.com/us/app/legendary-heroes-offline-moba/id480189064,13,108,9,4.5,1,2939,0
130,Lemmings: The Official Game,The puzzle classic returns!,https://apps.apple.com/us/app/lemmings-the-official-game/id1238114713,11,138,9,4.5,1,4776,0
131,LifeSim: Life Simulator Games,Strategy Money Cash Tycoon App,https://apps.apple.com/us/app/lifesim-life-simulator-games/id1441100868,14,76,12,4,1,1393,0
132,Lords of Empire:Kingdom War,A story between Heroes&Empire,https://apps.apple.com/us/app/lords-of-empire-kingdom-war/id1303303808,13,140,4,4.5,1,900,0
133,Lordz.io - Medieval PvP Battle,RTS Multiplayer .io Game,https://apps.apple.com/us/app/lordz-io-medieval-pvp-battle/id1317407661,1,141,4,4,1,670,0
134,Lunar Battle,Unique Base Builder Space-Sim,https://apps.apple.com/us/app/lunar-battle/id958674218,14,10,12,4.5,1,2226,0
135,Lux Touch 3 - World Domination,Game of Global Conquest,https://apps.apple.com/us/app/lux-touch-3-world-domination/id292538570,3,143,9,3.5,0,72428,0
136,Lux USA - American Civil War,Civil conquest game!,https://apps.apple.com/us/app/lux-usa-american-civil-war/id377734408,3,144,9,3,0,1900,0
137,Mafia Mystery,The classic social game,https://apps.apple.com/us/app/mafia-mystery/id892955084,15,145,4,4.5,1,3272,0
138,Mafia Stars,Best Mafia Strategy Game,https://apps.apple.com/us/app/mafia-stars/id1375904325,14,15,12,4.5,1,852,0
139,Magic Cube Solver,Learn to solve a magic cube,https://apps.apple.com/us/app/magic-cube-solver/id784085951,11,50,4,4,1,5851,0
140,Magic Mushrooms - Idle Game,Tycoon Idle Game,https://apps.apple.com/us/app/magic-mushrooms-idle-game/id1439788667,14,134,4,5,1,8805,0
141,Majong,Majong Solitaire Big Quest,https://apps.apple.com/us/app/majong/id675108896,4,149,4,4.5,1,28454,0
142,Mancala - Online multiplayer,,https://apps.apple.com/us/app/mancala-online-multiplayer/id1041732970,3,150,4,4,1,1530,0
143,Marple,,https://apps.apple.com/us/app/marple/id288689440,11,107,4,3.5,0,989,0.99
144,MaskGun Multiplayer FPS,Online Mobile PVP Shooter,https://apps.apple.com/us/app/maskgun-multiplayer-fps/id956736147,1,85,12,4.5,1,788,0
145,Maya Block Puzzle,,https://apps.apple.com/us/app/maya-block-puzzle/id1375261016,11,153,4,5,0,613,0
146,Merge TD: Idle Tower Defense,How far can you get?,https://apps.apple.com/us/app/merge-td-idle-tower-defense/id1455258401,14,44,9,5,1,12876,0
147,Milk Factory,Tycoon Idle Game,https://apps.apple.com/us/app/milk-factory/id1441292916,14,67,4,5,1,20893,0
148,Mini Guns - Omega Wars,RTS Mobile Strategy Game,https://apps.apple.com/us/app/mini-guns-omega-wars/id1192473862,1,86,12,4,1,2181,0
149,Mob Wars LCN,PvP Mafia Crime Social RPG,https://apps.apple.com/us/app/mob-wars-lcn/id789910921,13,87,12,4.5,1,1258,0
150,Mobg.io Survive Battle,Join battle to survive io game,https://apps.apple.com/us/app/mobg-io-survive-battle/id1355473886,1,5,12,4.5,1,1556,0
151,MonstroCity: Rampage,King of Monsters X City Battle,https://apps.apple.com/us/app/monstrocity-rampage/id1022351367,1,6,9,4.5,1,1330,0
152,Mushroom Wars 2 Heroic RTS,Fast-paced real-time battles,https://apps.apple.com/us/app/mushroom-wars-2-heroic-rts/id1141358828,1,160,4,4.5,1,9827,0
153,My Coffee Shop - Cafeteria,Coffeehouse Management Game,https://apps.apple.com/us/app/my-coffee-shop-cafeteria/id977278924,14,161,4,4.5,1,1171,0
154,My Colony,,https://apps.apple.com/us/app/my-colony/id1123806108,14,23,4,4,1,682,0
155,My Jigsaw Puzzles,,https://apps.apple.com/us/app/my-jigsaw-puzzles/id543822916,11,125,4,4.5,1,1854,0
156,My Planet Simulation,,https://apps.apple.com/us/app/my-planet-simulation/id695687095,14,23,4,4,1,743,0
157,My Salad Bar,Vegetarian Restaurant Game,https://apps.apple.com/us/app/my-salad-bar/id977281041,14,162,4,4.5,1,572,0
158,Noblemen: 1896,Alternate reality warfare,https://apps.apple.com/us/app/noblemen-1896/id1178777377,1,55,12,5,1,20329,0
159,OctoHits,Become the wealthiest !,https://apps.apple.com/us/app/octohits/id1441445569,14,167,12,4.5,1,515,0
160,Papa's Cupcakeria HD,Serve seasonal cupcakes,https://apps.apple.com/us/app/papas-cupcakeria-hd/id1047264616,14,52,4,4.5,0,516,2.99
161,Papa's Freezeria HD,Tasty ice cream treats,https://apps.apple.com/us/app/papas-freezeria-hd/id715822238,14,52,4,4.5,1,2786,2.99
162,Papa's Freezeria To Go!,Serve sundaes on the go,https://apps.apple.com/us/app/papas-freezeria-to-go/id824305459,14,52,4,4.5,0,1680,0.99
163,Paradise City Island Sim,Build a Paradise City Island,https://apps.apple.com/us/app/paradise-city-island-sim/id1112194912,14,155,4,4.5,1,672,0
164,Parking Escape,Car Parking Puzzle Game App,https://apps.apple.com/us/app/parking-escape/id1316937847,11,9,4,1.5,1,1047,0
165,Pipe Jewels,Connect the Leaky Pipes Puzzle,https://apps.apple.com/us/app/pipe-jewels/id1060113011,6,21,4,4.5,0,739,0
166,Pirates of Everseas,,https://apps.apple.com/us/app/pirates-of-everseas/id706171381,2,109,4,4,1,660,0
167,Pixel Battle Royale,Battle Royale game mode,https://apps.apple.com/us/app/pixel-battle-royale/id1309578981,1,7,9,4.5,1,2004,0
168,Pixel People,Rebuild. Rediscover. Recreate.,https://apps.apple.com/us/app/pixel-people/id1378223138,6,94,4,4.5,1,2615,0
169,Planet Overlord,,https://apps.apple.com/us/app/planet-overlord/id1447798839,11,74,4,4.5,1,800,0
170,Pocket Army,,https://apps.apple.com/us/app/pocket-army/id529961657,1,167,9,4.5,1,13633,0
171,Pocket City,Build your own city as mayor!,https://apps.apple.com/us/app/pocket-city/id1330451888,14,30,9,4.5,0,1966,3.99
172,Post Office: Idle Game,Manage your post office!,https://apps.apple.com/us/app/post-office-idle-game/id1388822317,14,112,4,4.5,1,1623,0
173,Power Painter: Shoot & Paint,Epic Merge Tower Defense Game,https://apps.apple.com/us/app/power-painter-shoot-paint/id1358277938,14,27,12,4.5,1,32429,0
174,Reactor - Energy Sector Tycoon,Idle Tycoon Business Manager,https://apps.apple.com/us/app/reactor-energy-sector-tycoon/id1086730643,14,138,4,4.5,1,5441,0
175,Rebel Inc.,Insurgency Simulator,https://apps.apple.com/us/app/rebel-inc/id1439187947,14,114,12,5,1,17384,1.99
176,Reiner Knizia's Medici HD,,https://apps.apple.com/us/app/reiner-knizias-medici-hd/id383152745,3,31,4,4.5,0,725,3.99
177,RISK: Global Domination,Official RISK game for mobile,https://apps.apple.com/us/app/risk-global-domination/id1051334048,3,153,9,4.5,1,31625,0
178,Robot Warfare: Mech Battle,Online PvP 6v6 robo shooter,https://apps.apple.com/us/app/robot-warfare-mech-battle/id1434052677,1,12,12,4.5,1,2031,0
179,Robotek,Conquer the Empire of Machine!,https://apps.apple.com/us/app/robotek/id437602797,13,38,4,4,1,1457,0
180,Roller Ball Splat 3D,Roll the ball and paint maze,https://apps.apple.com/us/app/roller-ball-splat-3d/id1455205095,11,104,4,4,0,762,0
181,Samurai Wars,,https://apps.apple.com/us/app/samurai-wars/id442916628,14,117,9,4,0,2917,0
182,Shadow Era - Trading Card Game,,https://apps.apple.com/us/app/shadow-era-trading-card-game/id631262453,4,181,9,4.5,1,2849,0
183,Shadow Ninja Assassin Game,Samurai Warrior in King Castle,https://apps.apple.com/us/app/shadow-ninja-assassin-game/id1396718502,1,110,12,4.5,1,3244,0
184,Shining Force Classics,Retro 3D Dungeon Crawler,https://apps.apple.com/us/app/shining-force-classics/id1437922492,13,147,9,4,1,700,0
185,SIEGE: TITAN WARS,Massive army vs. army battles,https://apps.apple.com/us/app/siege-titan-wars/id1149474432,1,152,12,4.5,1,3711,0
186,SIEGE: World War II,Epic PvP Army Battles In WWII,https://apps.apple.com/us/app/siege-world-war-ii/id1373496888,1,152,12,4.5,1,2973,0
187,Slay,,https://apps.apple.com/us/app/slay/id305324342,3,146,9,3,1,4885,3.99
188,Soda World,Your Soda Inc,https://apps.apple.com/us/app/soda-world/id1055274701,14,154,4,4.5,1,567,0
189,Soldiers Inc: Mobile Warfare,Futuristic MMO with PvP Action,https://apps.apple.com/us/app/soldiers-inc-mobile-warfare/id1088291369,1,130,12,4.5,1,1075,0
190,Spider Solitaire,Free Classic Card Game,https://apps.apple.com/us/app/spider-solitaire/id487025819,4,22,4,4.5,0,210705,0
191,Spider Solitaire+,Classic Spider Card Puzzle,https://apps.apple.com/us/app/spider-solitaire/id487024834,4,22,4,5,0,7999,4.99
192,Star Realms,,https://apps.apple.com/us/app/star-realms/id893447125,4,177,4,4.5,1,1798,0
193,Steampunk Defense,,https://apps.apple.com/us/app/steampunk-defense/id999261235,14,43,12,4.5,1,25531,0
194,Stellar Age: MMO Strategy,Space battles. Epic fleet wars,https://apps.apple.com/us/app/stellar-age-mmo-strategy/id930064323,14,34,12,4,1,661,0
195,Stick Cricket Super League,Captain your team to glory,https://apps.apple.com/us/app/stick-cricket-super-league/id1052018766,16,158,4,4.5,1,1748,0
196,Storm Wars CCG,,https://apps.apple.com/us/app/storm-wars-ccg/id1031856919,4,80,9,5,1,1005,0
197,Stormfall: Rise of Balur,Unite the Land Under Your Flag,https://apps.apple.com/us/app/stormfall-rise-of-balur/id916728593,1,130,9,4.5,1,3818,0
